year,event
314,シルウェステル1世がローマ教皇に即位しました。
1703,赤穂事件で赤穂浪士が吉良義央を討ち取りました。
1862,アルヴァン・グラハム・クラークがシリウスの伴星シリウスBを発見しました。 #初観測 #白色矮星
1876,アメリカ合衆国政府が全てのインディアンにインディアン居留地への移住を命じました。
1879,高橋お伝が強盗殺人罪で斬首刑に処せられました。
1882,前年設立の日本初の生命保険会社・明治生命が、1月20日に心臓病で急死した警部長の遺族に保険金1000円を支払いました。 #日本初 #生命保険金支払い
1893,北村透谷・島崎藤村らが文芸雑誌『文学界』を創刊しました。
1906,コロンビア沖でマグニチュード8.8の大地震が発生しました。
1912,中央線・中野 - 昌平橋に女学生の身辺保護のための婦人専用電車が登場しました。 #日本初 #女性専用車両
1917,ドイツがUボートによる無制限潜水艦作戦を開始すると発表しました。 #第一次世界大戦
1918,スコットランド沖で演習に向かうイギリス海軍艦艇の間で連続した衝突事故が発生し、2隻の潜水艦が沈没しました。 #メイ島の戦い
1920,全国普選連合会が結成されました。 #普選運動
1928,スターリンと対立していたレフ・トロツキーが中央アジアのアルマ・アタへ追放されました。
1942,日本軍によりマレー半島最南端のジョホール・バルが陥落しました。 #第二次世界大戦 #マレー作戦
1943,ドイツ軍のフリードリヒ・パウルス司令官と幕僚がソ連軍に降伏しました。 #第二次世界大戦 #スターリングラード攻防戦
1945,アメリカ陸軍の二等兵エディ・スロヴィクが脱走し、敵前逃亡の罪で銃殺刑に処されました。 #第二次世界大戦
1946,初の連合国軍（進駐軍）専用列車である東京 - 門司間下り1005列車「Alied Limited」が運転を開始しました。
1947,GHQ最高司令官ダグラス・マッカーサーが翌日に予定されていた二・一ゼネストの中止を命令しました。 #全官公庁共闘 #伊井弥四郎委員長 #スト中止
1949,中国人民解放軍が北京に無血入城しました。 #国共内戦
1950,ハリー・S・トルーマン米大統領が水素爆弾の開発計画を発表しました。
1950,中国人民解放軍総司令部がチベットを除く中国本土全域の解放完了を宣言しました。
1951,ジェトゥリオ・ドルネレス・ヴァルガスがブラジルの大統領に就任しました。
1956,コルチナ＝ダンペッツォ冬季五輪のスキー回転で猪谷千春が銀メダルを獲得しました。 #冬季オリンピック #日本初 #メダル
1957,前年末に首相に就任した石橋湛山が脳梗塞で倒れ、岸信介が臨時首相代理に就任しました。
1958,アメリカ初の人工衛星「エクスプローラー1号」が打ち上げられました。
1958,ジェームズ・ヴァン・アレンがヴァン・アレン帯を発見しました。
1961,チンパンジー「ハム」が搭乗したアメリカの宇宙船「マーキュリー・レッドストーン2号」が打ち上げられました。 #マーキュリー計画
1966,ソ連の無人月探査機「ルナ9号」が打ち上げられました。 #ルナ計画
1968,ナウル共和国がオーストラリアから独立しました。
1971,3番目の有人月宇宙船「アポロ14号」が打ち上げられました。
1971,『新婚さんいらっしゃい!』（朝日放送〈現：朝日放送テレビ〉制作、TBS系→テレビ朝日系）の放送が開始されました。
1976,鹿児島市立病院で日本初の五つ子が誕生しました。
1979,江川卓が阪神に入団し、小林繁と即日トレードで巨人に移籍しました。 #江川事件
1980,三重県熊野市二木島町で熊野一族7人殺害事件が発生。犯人は猟銃・斧で親族10人を殺傷し、自殺しました。
1983,7人への連続強盗殺人（1972年 - 1980年）を犯し、さらに前年（1982年）から「警察庁広域重要指定113号事件」を起こした勝田清孝が愛知県名古屋市昭和区内で逮捕されました。
1984,兵庫県の別府鉄道線がこの日限りで全線廃止されました。
1986,福岡市地下鉄箱崎線延長部（馬出九大病院前駅 - 箱崎九大前駅間）が開業しました。
1988,青函トンネル（海峡線）の開通に先立ち、並行するJR北海道松前線（木古内 - 松前間）がこの日限りで廃止されました。
1988,愛知県のJR東海・岡多線が第三セクター鉄道・愛知環状鉄道に転換されました。
1988,熊本県・鹿児島県のJR九州・山野線がこの日限りで廃止されました。
1989,大行天皇の追号が昭和天皇に決定し、皇居で奉告の儀が行われました。
1989,島田事件（1954年）で死刑が確定したが、その後再審開始が決定していた被告人に静岡地裁刑事第1部（尾崎俊信裁判長）が再審無罪の判決を言い渡しました。 #34年ぶり #釈放
1990,モスクワにマクドナルドソ連1号店が開店しました。
1994,バルセロナの歌劇場・リセウ大劇場が失火で内部全焼しました。
1996,海上保安庁が、この日の運用を最後に電信・モールス符号による通信を廃止しました。
1997,『ファイナルファンタジーVII』が発売されました。 #PlayStation #起爆剤
1999,東急百貨店日本橋店（旧 白木屋）が開業から336年で閉店しました。
2000,アラスカ航空261便墜落事故が発生しました。
2001,日本航空機駿河湾上空ニアミス事故が発生しました。
2001,セガがドリームキャストの生産終了と家庭用ゲーム機製造販売事業からの撤退を発表しました。
2004,東急東横線の一部（横浜 - 桜木町間）が廃止され、反町駅・横浜駅が地下化されました。
2004,茨城女子大学生殺人事件が発生しました。
2004,毎日新聞社長監禁事件が発生しました。
2013,1月19日に逝去した元横綱大鵬幸喜こと納谷幸喜の国民栄誉賞受賞が決まりました。
2014,東北地方太平洋沖地震を原因とする福島第一原子力発電所事故に伴い全発電設備が停止されていた福島第一原子力発電所が、この日限りで廃止されました。
2018,月食が起きました。
2020,イギリスが欧州連合（EU）から離脱しました。
