year,event,
1258,バグダードが陥落してバグダードの戦いが終結しました。 #アッバース朝 #滅亡,
1606,火薬陰謀事件の実行責任者ガイ・フォークスが首吊り・内臓抉り・四つ裂きの刑で処刑されました。,
1635,フランスでアカデミー・フランセーズが設立されました。,
1653,江戸幕府が町人建議による水路（のちの玉川上水）の着工を許可しました。,
1763,パリ条約が調印され、七年戦争・フレンチ・インディアン戦争が終結しました。,
1840,イギリス女王ヴィクトリアとザクセン＝コーブルク＝ゴータ公子アルバートが結婚しました。,
1870,ニューヨークでアメリカYWCAが設立されました。,
1906,英海軍の戦艦「ドレッドノート」が進水しました。,
1921,宮内省が裕仁親王（昭和天皇）と良子女王（香淳皇后）の婚約に変更がないことを発表しました。 #宮中某重大事件,
1937,中国共産党が中国国民党に第二次国共合作を提議しました。,
1940,津田左右吉の『古事記及日本書紀の研究』『神代史の研究』などが、記紀を批判し皇室を冒涜しているとして発売禁止処分を受けました。,
1942,グレン・ミラーが、「チャタヌーガ・チュー・チュー」の120万枚発売を記念して史上初のゴールドディスクを授与されました。,
1947,連合国21か国と日独を除く旧枢軸国5か国が第二次世界大戦講和のためのパリ平和条約に調印しました。,
1948,ソ連でジダーノフ批判が始まりました。,
1949,片山内閣が総辞職を表明しました。,
1949,ニューヨークでアーサー・ミラーの戯曲『セールスマンの死』が初演されました。,
1962,U-2撃墜事件でソ連に拘禁されていたアメリカの軍人フランシス・ゲーリー・パワーズと、アメリカで収監されていたソ連のスパイルドルフ・アベルが交換によりそれぞれ釈放されました。,
1963,北九州5市（門司市・小倉市・戸畑市・八幡市・若松市）の合併により北九州市が発足されました。,
1964,オーストラリア海軍の航空母艦メルボルンと駆逐艦ヴォイジャーの衝突により、ヴォイジャーが沈没し、82名の死者を出す事故が発生しました。,
1965,自衛隊が極秘に行っていた机上作戦演習「三矢研究」が衆議院で取り上げられ問題化しました。,
1967,アメリカ合衆国憲法修正第25条の批准が完了しました。,
1976,本田技研工業がミニバイク「ロードパル」の発売を開始しました。,
1988,ファミコンソフト『ドラゴンクエストIII そして伝説へ…』が発売されました。,
1991,日本オリエンテーリング委員会が社団法人化し、日本オリエンテーリング協会が設立されました。,
1993,高エネルギー物理学研究所（KEK, 現在の高エネルギー加速器研究機構）が日本初のホームページを開設しました。
1996,IBMのコンピュータ・ディープ・ブルーがチェスチャンピオンのガリー・カスパロフに初勝利しました。,
1996,北海道の豊浜トンネルで岩盤崩落により20名が死亡する事故が発生しました。,
1997,神戸連続児童殺傷事件が発生しました。,
1998,W3CがXML 1.0を勧告しました。,
2000,宇宙科学研究所がM-Vロケット4号機によるX線天文衛星「ASTRO-E」の打ち上げに失敗しました。,
2006,第20回冬季オリンピックが開催されました。 #トリノ大会,
2008,崇礼門放火事件が発生しました。,
2009,人工衛星衝突事故が発生しました。,
2019,第61回グラミー賞でヒロ・ムライ監督によるチャイルディッシュ・ガンビーノ“This Is America”が最優秀ミュージック・ビデオ賞を受賞しました。,
