year,event
904,対立教皇クリストフォルスが退位し、セルギウス3世がローマ教皇に就任しました。
1598,慶長の役・蔚山城の戦いが始まりました。
1676,フョードル3世がモスクワ・ロシアのツァーリに即位しました。
1819,トーマス・スタンフォード・ラッフルズがシンガポールに上陸しました。
1845,エドガー・アラン・ポーが物語詩『大鴉』を発表しました。
1850,米上院議員ヘンリー・クレイが1850年協定を策定しました。
1856,イギリス女王ヴィクトリアがヴィクトリア十字章を創設しました。
1861,カンザス準州が州に昇格しました。 #アメリカ合衆国 #34番目の州 #カンザス州
1863,ベア川の虐殺が起こりました。 #南北戦争 #太平洋岸戦線
1879,日本が国際電信連合（現 国際電気通信連合）に加盟しました。
1886,カール・ベンツが世界初となるガソリン自動車「ベンツ・パテント・モーターカー」（3輪） の特許を取得しました。
1891,リリウオカラニがハワイ王国女王に即位しました。
1900,大リーグのアメリカン・リーグがフィラデルフィアで設立総会を開催しました。 #大リーグ #2リーグ制
1916,パリがドイツ軍の飛行船ツェッペリンにより初めて空襲を受けました。 #第一次世界大戦
1934,官営八幡製鉄所と民間の製鉄5事業者が合併して、半官半民の日本製鐵を設立しました。
1936,アメリカ・ニューヨーク州のクーパーズタウンに「野球殿堂」が開設されました。 #ベーブルース #殿堂入り
1940,西成線列車脱線火災事故が発生しました。
1943,レンネル島沖海戦が始まりました。 #第二次世界大戦 #ソロモン諸島の戦い
1944,『中央公論』『改造』の編集者が検挙されました。 #横浜事件
1946,GHQが琉球列島・小笠原諸島などに対する日本の行政権を停止しました。
1951,徳島県鳴門市桑島岸壁で爆発事故が発生しました。 #重軽傷100人余 #家屋全壊20戸 #半壊100戸 #機帆船8隻沈没 #サルベージ会社
1957,日本の第一次南極予備観測隊が南極のオングル島に上陸しました。 #昭和基地
1960,アラビア石油がクウェート沖のカフジ油田を掘り当てました。 #戦後初 #油田開発
1964,第9回冬季オリンピックが開催されました。 #インスブルック大会
1967,第31回衆議院議員総選挙が行われました。
1968,東京大学医学部自治会がインターン制度の運用と医師法改正をめぐって無期限ストを開始しました。 #東大紛争
1979,カリフォルニア州サンディエゴの小学校で銃乱射事件が発生しました。 #死者2名 #16歳 #ブレンダ_アン_スペンサー
1989,ハンガリーが東側諸国では初めて韓国と国交を樹立しました。
1994,小選挙区比例代表並立制導入などの政治改革四法が成立しました。
1996,フランス大統領ジャック・シラクが同国での核実験を無期限中止すると発表しました。
1999,島根県浜田市を皮切りに地域振興券の交付を開始しました。
2002,アメリカ合衆国大統領ジョージ・ウォーカー・ブッシュが一般教書演説で北朝鮮・イラク・イランを「悪の枢軸」と発言しました。
2003,2場所連続優勝した大関・朝青龍が横綱に昇進しました。 #モンゴル人初
2005,名鉄空港線の一般旅客向け営業開始に伴い、名鉄で大規模な白紙ダイヤ改正が実施されました。
2008,マツダが2代目アテンザを販売開始しました。
2011,AFCアジアカップ2011で日本がオーストラリアを、延長戦の末1-0で下し、2大会ぶり4回目の優勝を果たしました。
2014,日本の理化学研究所など日米共同研究チームは、新たな万能細胞である刺激惹起性多能性獲得細胞（STAP細胞）の生成に成功したと発表しました。
