year,event,
1268,モンゴル帝国の使者が通交を求めて来日しました。 #元寇,
1411,ポーランド・リトアニア連合とドイツ騎士団が第一次トルンの和約に調印しました。,
1662,鄭成功が台湾の安平古堡を陥落しました。 #鄭氏 #台湾統治,
1793,フランス国民公会がイギリス・オランダに宣戦布告しました。 #フランス革命戦争,
1814,フィリピンのマヨン山が噴火しました。 #死者1200名,
1861,テキサス州がアメリカ合衆国から離脱しました。 #南北戦争,
1865,アメリカ合衆国大統領エイブラハム・リンカーンが奴隷制全廃を定めるアメリカ合衆国憲法修正第13条に署名しました。,
1874,佐賀の乱が勃発しました。,
1884,『オックスフォード英語辞典』(OED) 第1巻が刊行されました。,
1889,官設鉄道東海道線・国府津 - 静岡（国府津 - 沼津は現在の御殿場線）が開業しました。,
1890,徳富蘇峰が「國民新聞」を創刊しました。,
1895,京都電気鉄道（後の京都市電）・塩小路東洞院通 - 伏見町下油掛6.4kmが開業しました。 #日本初 #電気鉄道,
1896,ジャコモ・プッチーニのオペラ『ラ・ボエーム』がトリノで初演されました。,
1899,東京 - 大阪で初の長距離電話が開通しました。 #1通話1円60銭,
1903,中央本線笹子トンネルが開通しました。,
1906,前年12月に設置された韓国統監府が開庁しました。,
1908,ポルトガル王カルロス1世が暗殺され、襲撃に巻き込まれた王太子ルイス・フィリペが王位に就くも20分後に死亡したため、実弟のマヌエルが王位を継承しました。,
1911,徳富蘆花が一高弁論部大会で「謀反論」を講演しました。,
1913,マニラで第1回東洋オリンピックが開会されました。,
1924,イギリスがソビエト連邦を承認しました。,
1928,日本共産党の機関紙『赤旗』（現 『しんぶん赤旗』）が創刊されました。,
1938,山川均・大内兵衛・美濃部亮吉ら労農派教授グループ約30人が検挙されました。 #第二次人民戦線事件,
1942,日本で、味噌・醤油の配給制、衣料の切符配給制が開始されました。 #第二次世界大戦,
1942,毛沢東が「文化人の問題、我々の立場の問題、それらの学習の問題を解決しなければならない」と談話。中国共産党で整風運動がはじまりました。,
1943,日本軍がガダルカナル島からの撤退（ケ号作戦）を開始しました。 #第二次世界大戦 #ガダルカナル島の戦い,
1944,米軍がクェゼリン・ルオット両島への上陸を開始しました。 #第二次世界大戦 #クェゼリンの戦い,
1946,ハンガリーで新憲法が制定され、ハンガリー第二共和国が成立しました。,
1946,NHKラジオで平川唯一の『英会話教室』が放送開始されました。,
1948,沢田美喜が大磯に混血児救済施設「エリザベス・サンダースホーム」を開設しました。,
1952,経済協力開発機構原子力機関の前身である欧州原子力機関が創設されました。,
1953,NHKが東京地区で日本で初めてのテレビ本放送を開始しました。,
1954,マリリン・モンローが来日しました。,
1956,「自動車損害賠償保障法」（自賠責法）が施行されました。 #自賠責保険 #強制加入,
1958,エジプトとシリアがアラブ連合共和国を結成しました。,
1959,日本教育テレビ（NETテレビ、現・テレビ朝日）が開局しました。,
1960,興和が胃腸薬「キャベジンコーワ」を発売しました。,
1961,深沢七郎の小説『風流夢譚』の雑誌『中央公論』への掲載をめぐって、中央公論社社長の自宅を大日本愛国党の右翼少年が襲撃し、家事手伝いの女性を刺殺しました。 #嶋中事件,
1962,琉球立法院が、アメリカの沖縄統治は国連憲章違反とする決議（2・1決議）を全会一致で採択しました。,
1962,東京都統計部の発表によれば東京都の人口（常住人口）が1,000万人を突破しました。 #世界初 #1000万都市
1965,原水爆禁止日本協議会（原水協）から社会党・総評系が分裂し、原水爆禁止日本国民会議（原水禁）が結成されました。,
1967,大阪府の布施市・河内市・枚岡市の3市が対等合併し、東大阪市が発足されました。,
1968,カナダで陸軍・海軍・空軍を統合し、カナダ軍が発足されました。,
1970,アース製薬が大塚製薬を核とする大塚グループに参加しました。,
1974,クアラルンプールが連邦直轄領になりました。,
1974,ブラジル・サンパウロでジョエルマビル火災が発生しました。,
1979,イランのアヤトラ・ホメイニがパリでの15年間の亡命から帰国しました。,
1982,セネガルとガンビアによるセネガンビア国家連合が発足されました。,
1982,四国地方初の民放FM放送局・エフエム愛媛が開局しました。,
1983,老人福祉法が改正され、70歳以上の医療無料制が廃止されました。,
1984,国鉄で貨物列車の大整理を伴う大規模ダイヤ改正が実施されました。,
1987,北海道の国鉄広尾線（帯広 - 広尾84.0km）がこの日限りで廃止されました。 #愛国駅 #幸福駅 #廃止,
1998,NTTがナンバーディスプレイのサービスを全国で開始しました。,
2002,小泉純一郎首相が田中眞紀子外相を更迭しました。,
2003,STS-107スペースシャトルコロンビア号がテキサス州上空で空中分解し、乗員7名が全員死亡する事故が発生しました。 #コロンビア号空中分解事故,
2003,欧州連合の基本条約の一つ・ニース条約が発効されました。,
2004,みなとみらい線（横浜 - 元町・中華街間）が開業しました。,
2004,テレビアニメ『ふたりはプリキュア』の放送が開始されました。,
2004,ヒューストンのリライアント・スタジアムで第38回スーパーボウルが開催されました。,
2004,ブルネイで中央銀行の役割を果たすブルネイ通貨金融委員会が発足されました。,
2005,サッカーJリーグの「ジェフユナイテッド市原」が「ジェフユナイテッド市原・千葉（通称・ジェフ千葉）」に改称されました。,
2008,日本たばこ産業が成人識別自動販売機でたばこを購入する際に利用するICカードtaspoの発行受付がスタートしました。,
2009,ヨハンナ・シグルザルドッティルがアイスランドの首相に就任しました。,
2012,エジプト・サッカー暴動が発生しました。 #死者数74名,
2015,後藤健二の殺害が報道されました。 #ISIL #日本人拘束事件,
2019,日本・EU経済連携協定が発効されました。,
2019,アメリカが中距離核戦力全廃条約破棄を発表し、翌日からの義務履行停止をロシアに通告しました。,
